id;original_filename;file_type;content_type;file_size_bytes;checksum;storage_key;parser_name;parser_version;statement_start_date;statement_end_date;created_at;transaction_ingestion_id
1;although huff;OTHER;duster slowly completion;31335;roughly against;athwart kissingly;unless hold;lava;2026-07-07;2026-07-06;2026-07-06T23:21:22;1
2;warmly;OTHER;reproachfully sleepily conclude;8041;stiff;fairly emphasize wherever;pish nor;frightfully;2026-07-06;2026-07-07;2026-07-07T03:50:09;2
3;queasy;PDF;gripping evenly nerve;14572;defensive igloo wobbly;busy masculinize gadzooks;shark showy apropos;haze;2026-07-06;2026-07-07;2026-07-07T04:10:57;3
4;divert;OTHER;fondly;9612;psst nifty flash;among ultimately;graduate spirit;finally;2026-07-06;2026-07-07;2026-07-07T15:43:59;4
5;very;OTHER;plan;23387;mmm irresponsible;shell;vastly;through rigidly an;2026-07-07;2026-07-07;2026-07-07T16:24:09;5
6;vol;PDF;creature;11488;substitution direct;tensely excluding biodegradable;arrange;rarely;2026-07-07;2026-07-07;2026-07-07T02:47:55;6
7;around;CSV;elegantly;14496;punctually bah;sympathetically seldom meanwhile;pricey;worth flawed wherever;2026-07-06;2026-07-07;2026-07-07T02:44:06;7
8;sometimes that;JSON;likewise;10295;ugh hollow dramatize;founder anxiously hollow;ah;swine produce frilly;2026-07-07;2026-07-06;2026-07-07T12:06:45;8
9;critical boohoo;CSV;border following;8498;but wring;complicated velvety fledgling;eulogise though;overspend;2026-07-06;2026-07-06;2026-07-06T23:17:40;9
10;instead drat including;PDF;brown nicely monstrous;12691;sedately rapidly simple;hunt brr;alert distorted;whether accidentally worth;2026-07-07;2026-07-06;2026-07-07T03:06:34;10
